layer,measurement,measurement_label,site,peak_abs_z,peak_z_ci_lower_abs,peak_timepoint,clinical_flagged_count,concordance_class,signal_score,rank_overall,rank_within_layer
microbial,K03118,sec-independent protein translocase protein TatC,ORC,10.589207921524368,9.559273391453996,R+82,0,ambiguous,7.647418713163197,1339,757
microbial,K01599,uroporphyrinogen decarboxylase [EC:4.1.1.37],ORC,9.178134768481549,7.645247148558727,R+82,0,idiosyncratic,7.645247148558727,1340,758
microbial,K21330,C-S lyase,ORC,7.0269174147007005,6.367950853613599,R+1,0,concordant,7.641541024336318,1341,759
microbial,K18189,translational activator of cytochrome c oxidase 1,NAC,11.178802897742065,9.551672312529192,R+1,0,ambiguous,7.641337850023354,1342,579
microbial,K01778,diaminopimelate epimerase [EC:5.1.1.7],ORC,8.422490773989196,7.63440648917996,R+82,0,idiosyncratic,7.63440648917996,1343,760
microbial,K01883,cysteinyl-tRNA synthetase [EC:6.1.1.16],ORC,8.916946136450514,7.633586334955524,R+82,0,idiosyncratic,7.633586334955524,1344,761
microbial,K00549,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14],NAC,11.121181877215056,9.54186689065672,R+1,0,ambiguous,7.6334935125253764,1345,580
microbial,K00891,shikimate kinase [EC:2.7.1.71],ORC,9.039388850730228,7.633205998805998,R+82,0,idiosyncratic,7.633205998805998,1346,762
microbial,K03151,tRNA uracil 4-sulfurtransferase [EC:2.8.1.4],ORC,9.107289219897698,7.6327539350831985,R+1,0,idiosyncratic,7.6327539350831985,1347,763
microbial,K07568,S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17],ORC,7.695078083567658,6.35707877462688,R+1,0,concordant,7.628494529552256,1348,764
microbial,K15238,"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase 2 [EC:1.3.1.-]",NAC,11.079646440780392,9.53469063666119,R+45,0,ambiguous,7.627752509328953,1349,581
microbial,K07156,copper resistance protein C,NAC,10.940445037284617,9.532588860704884,R+1,0,ambiguous,7.626071088563908,1350,582
microbial,K01759,lactoylglutathione lyase [EC:4.4.1.5],ORC,8.804542912811854,7.6252809399092065,R+82,0,idiosyncratic,7.6252809399092065,1351,765
microbial,K01915,glutamine synthetase [EC:6.3.1.2],ORC,9.154897337710032,7.62443144887423,R+82,0,idiosyncratic,7.62443144887423,1352,766
microbial,K00563,23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187],NAC,11.081552770226365,9.529602865054938,R+45,0,ambiguous,7.623682292043951,1353,583
microbial,K00950,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3],NAC,11.050017395525622,9.529309666157618,R+1,0,ambiguous,7.623447732926095,1354,584
microbial,K02796,mannose PTS system EIID component,ORC,10.182982355820421,9.529198428586643,R+1,0,ambiguous,7.623358742869314,1355,767
microbial,K02495,oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3],ORC,9.142421705171285,7.61559071481447,R+82,0,idiosyncratic,7.61559071481447,1356,768
microbial,K00859,dephospho-CoA kinase [EC:2.7.1.24],ORC,7.399829746750381,6.343732581640046,R+1,0,concordant,7.6124790979680546,1357,769
microbial,K03704,cold shock protein,ORC,8.227069109820249,7.611809055906542,R+82,0,idiosyncratic,7.611809055906542,1358,770
microbial,K00153,S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306],NAC,11.32366281204451,9.512677801969916,R+1,0,ambiguous,7.610142241575933,1359,585
microbial,K06885,uncharacterized protein,ORC,10.970898187699333,9.509094395740613,R+1,0,ambiguous,7.607275516592491,1360,771
microbial,K02837,peptide chain release factor 3,ORC,9.116395503529624,7.5948903522827225,R+82,0,idiosyncratic,7.5948903522827225,1361,772
microbial,K01915,glutamine synthetase [EC:6.3.1.2],NAC,7.029961142200101,6.32876120721858,R+1,0,concordant,7.594513448662296,1362,586
microbial,K03216,tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207],NAC,10.14942924941038,9.491830385910294,R+1,0,ambiguous,7.593464308728236,1363,587
microbial,K12942,aminobenzoyl-glutamate transport protein,NAC,9.82521161216762,9.485398684398815,R+1,0,ambiguous,7.588318947519053,1364,588
microbial,K07720,"two-component system, response regulator YesN",ORC,6.922324307102902,6.31991939623433,R+1,0,concordant,7.583903275481196,1365,773
microbial,K00882,1-phosphofructokinase [EC:2.7.1.56],ORC,7.919752606495907,7.580722872368391,R+1,0,idiosyncratic,7.580722872368391,1366,774
microbial,K10000,arginine transport system ATP-binding protein [EC:7.4.2.1],ORC,9.551932173828979,9.467625086274007,R+82,0,ambiguous,7.574100069019206,1367,775
microbial,K03550,holliday junction DNA helicase RuvA [EC:3.6.4.12],ORC,8.92626258586693,7.573281857587929,R+82,0,idiosyncratic,7.573281857587929,1368,776
microbial,K12574,ribonuclease J [EC:3.1.-.-],NAC,11.2096072103241,9.46509817514868,R+1,0,ambiguous,7.5720785401189445,1369,589
microbial,K05823,N-acetyldiaminopimelate deacetylase [EC:3.5.1.47],ORC,7.589901063610098,7.571540884812012,R+1,0,idiosyncratic,7.571540884812012,1370,777
microbial,K17319,putative aldouronate transport system permease protein,ORC,8.441802546776167,7.567660585637933,R+1,0,idiosyncratic,7.567660585637933,1371,778
microbial,K00886,polyphosphate glucokinase [EC:2.7.1.63],NAC,11.18242947258187,9.456765378769937,R+1,0,ambiguous,7.56541230301595,1372,590
microbial,K02051,NitT/TauT family transport system substrate-binding protein,ORC,8.537754736489138,7.564880454276608,R+1,0,idiosyncratic,7.564880454276608,1373,779
microbial,K00648,3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180],ORC,8.581508086919206,7.563976128424319,R+82,0,idiosyncratic,7.563976128424319,1374,780
microbial,K03303,lactate permease,NAC,7.252811235591216,6.302995652526935,R+1,0,concordant,7.563594783032322,1375,591
microbial,K15986,manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1],ORC,8.252655404511854,7.560492298939622,R+1,0,idiosyncratic,7.560492298939622,1376,781
microbial,K01262,Xaa-Pro aminopeptidase [EC:3.4.11.9],ORC,7.394724688950907,6.29831703559896,R+1,0,concordant,7.557980442718752,1377,782
microbial,K15525,N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase [EC:3.5.1.103],NAC,11.217918618792721,9.446958418299888,R+1,0,ambiguous,7.55756673463991,1378,592
microbial,K03783,purine-nucleoside phosphorylase [EC:2.4.2.1],ORC,10.22935369108372,9.444749127978124,R+1,0,ambiguous,7.5557993023825,1379,783
microbial,K07029,diacylglycerol kinase (ATP) [EC:2.7.1.107],ORC,8.421060356942698,7.553437947692142,R+1,0,idiosyncratic,7.553437947692142,1380,784
microbial,K01719,uroporphyrinogen-III synthase [EC:4.2.1.75],ORC,8.004059177486942,7.551621022335307,R+1,0,idiosyncratic,7.551621022335307,1381,785
microbial,K01963,acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15],ORC,8.342062780809632,7.5512762707580166,R+82,0,idiosyncratic,7.5512762707580166,1382,786
microbial,K00867,type I pantothenate kinase [EC:2.7.1.33],ORC,8.098362309713158,7.545830481608806,R+1,0,idiosyncratic,7.545830481608806,1383,787
microbial,K16915,nickel transport protein,ORC,10.102165066145108,9.42897674355111,R+1,0,ambiguous,7.543181394840888,1384,788
microbial,K01358,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",ORC,9.054716512184552,7.5390382820558095,R+82,0,idiosyncratic,7.5390382820558095,1385,789
