rank_overall,layer,measurement,measurement_label,site,timepoint,days_from_launch,phase,value_raw,value_transformed,z_score,z_score_ci_low,z_score_ci_high,z_score_robust,deviation_flag,deviation_direction,fold_change
90,microbial,K00797,spermidine synthase [EC:2.5.1.16],ORC,FD3,3,in-flight,72.6237,4.298966984770023,-0.7702924178246343,-1.7527896999571184,-0.4010823063477204,-0.6058489438848773,stable,,0.8685383180252583
90,microbial,K00797,spermidine synthase [EC:2.5.1.16],ORC,R+45,45,post-flight,10.6497,2.4552804286071837,-11.733225335160288,-36.27803296261107,-10.330429551495104,-14.352128308354885,extreme,down,0.1273643800229621
90,microbial,K00797,spermidine synthase [EC:2.5.1.16],ORC,R+82,82,post-flight,0.0,0.0,-26.332819036211443,-83.2873348845272,-23.384015786210433,-32.658369451640105,extreme,down,0.0
94,microbial,K18354,vancomycin resistance protein VanK,ORC,L-92,-92,pre-flight,85.577,4.461034191378858,0.977719130663354,0.5773502691896238,2.6759653033584945,0.6744907594765952,stable,,1.1353936005498055
94,microbial,K18354,vancomycin resistance protein VanK,ORC,L-44,-44,pre-flight,65.182,4.192408522647289,-1.0208830386401118,-3.1267438467253443,-0.5773502691896222,-0.7679480203205293,elevated,down,0.8648027585804297
94,microbial,K18354,vancomycin resistance protein VanK,ORC,L-3,-3,pre-flight,75.3573,4.335423639405798,0.0431639079767707,-1.1547005383792517,1.1547005383792552,0.0,stable,,0.9998036408697648
94,microbial,K18354,vancomycin resistance protein VanK,ORC,R+1,1,post-flight,1.4515,0.8967000821091509,-25.54128747263821,-48.57144874038684,-21.82749547273623,-18.464907823098468,extreme,down,0.0192577890227285
94,microbial,K18354,vancomycin resistance protein VanK,ORC,FD2,2,in-flight,55.7726,4.039053814971314,-2.161857588396842,-5.2413603427314195,-1.566154304667288,-1.5914165237617346,high,down,0.7399634612807656
94,microbial,K18354,vancomycin resistance protein VanK,ORC,FD3,3,in-flight,51.7656,3.965859463232476,-2.706430975060735,-6.250641283284292,-2.038098540813314,-1.984448105251118,high,down,0.6868005535204671
94,microbial,K18354,vancomycin resistance protein VanK,ORC,R+45,45,post-flight,6.142,1.9659928491722567,-17.585641037344,-33.826911982707216,-14.932884807029742,-12.72312833697769,extreme,down,0.0814890390476051
94,microbial,K18354,vancomycin resistance protein VanK,ORC,R+82,82,post-flight,0.0,0.0,-32.212826859698026,-60.93609547561761,-27.609259027567017,-23.279916673105287,extreme,down,0.0
97,microbial,K07047,N-substituted formamide deformylase [EC:3.5.1.91],NAC,L-92,-92,pre-flight,56.433899999999994,4.050634721328998,-1.0869738556759128,-4.473181086062521,-0.5773502691896257,-1.292274138341746,elevated,down,0.8845397278696182
97,microbial,K07047,N-substituted formamide deformylase [EC:3.5.1.91],NAC,L-44,-44,pre-flight,69.967,4.262214980261157,0.8809271118821509,0.5773502691896257,2.058728739507141,0.6744907594765952,stable,,1.0966562853152728
97,microbial,K07047,N-substituted formamide deformylase [EC:3.5.1.91],NAC,L-3,-3,pre-flight,65.0,4.189654742026425,0.2060467437937619,-1.1547005383792517,1.1547005383792517,0.0,stable,,1.018803986815109
